name,tel,postal_code,address
城邦文化事業股份有限公司 麥浩斯出版,(02)25007578,10483,臺北市中山區民生東路二段141號8樓
麥田出版,(02)25007696,10483,臺北市中山區民生東路二段141號5樓
松崗資產管理股份有限公司,(02)23830383,10041,臺北市中正區忠孝西路一段50號11樓之6
藍海製作有限公司,(02)29301211,11687,臺北市文山區興隆路二段22巷7弄2號1樓
三民書局股份有限公司,(02)25006600*504,10476,臺北市中山區復興北路386號
方集出版社股份有限公司,(03)6567336,30288,新竹縣竹北市台元一街8號5樓之7
青文出版社股份有限公司,(02)25681699,10442,臺北市中山區長安東路一段36號3樓
遠足文化事業股份有限公司,(02)22181417*2207,23141,新北市新店區民權路108-2號9樓
春天出版國際文化有限公司,(02)77180898,11052,臺北市信義區信義路四段458號3樓
啟動文化,(02)27182001,10543,臺北市松山區復興北路333號11樓之4
博碩文化股份有限公司,(02)26962869,22102,新北市汐止區新臺五路一段112號10樓A棟
新月文化事業股份有限公司,(02)29301211,11687,臺北市文山區興隆路二段22巷7弄2號1樓
親子天下股份有限公司,(02)25092800,10489,臺北市中山區建國北路1段96號11樓
釀出版,(02)27963638,11492,臺北市內湖區瑞光路76巷65號1樓
格林文化事業股份有限公司,(02)23517251,10651,臺北市大安區新生南路二段2號3樓
綜合出版社,(06)2630078,70263,臺南市南區永成路3段138號
小魯文化事業股份有限公司,(02)27320708,10672,臺北市大安區安居街6號12樓
楓書坊文化出版社,(02)29576096,22060,新北市板橋區信義路163巷3號10樓
大眾國際書局股份有限公司,(02)29589808*128,22069,新北市板橋區三民路二段37號16樓之1
華品文創出版股份有限公司,(02)23317103,10045,臺北市中正區重慶南路一段57號13樓之1
考用出版股份有限公司,(02)27096723,10667,臺北市大安區和平東路二段357巷2號4樓之2
旗標科技股份有限公司,(02)23963257,10050,臺北市中正區杭州南路一段15-1號19樓
日月文化出版股份有限公司,(02)27085509,10658,臺北市大安區信義路三段151號9樓
閣林文創股份有限公司,(02)82219888,23585,新北市中和區建一路137號6樓
大塊文化出版股份有限公司,(02)87123898,10550,臺北市松山區南京東路四段25號11樓
匹歐匹實業有限公司,(02)26982288,22101,新北市汐止區新台五路1段81號12樓
幼福文化事業股份有限公司,(02)22263070,23585,新北市中和區建康路130號4樓之2
希伯崙股份有限公司,(02)25782626*230,10559,臺北市松山區八德路三段32號12樓
甦活全球網路股份有限公司,(02)23705988,10047,臺北市中正區館前路49號10樓
天下雜誌股份有限公司,(02)26620332,10485,臺北市中山區南京東路二段139號11樓
深石數位科技股份有限公司,(02)25627969,10457,臺北市中山區南京東路2段98號8樓之1
精誠資訊股份有限公司,(02)27198811,10595,臺北市松山區復興北路99號12樓
采實文化事業股份有限公司,(02)25185198,10479,臺北市中山區建國北路2段92號9樓
漫遊者文化事業股份有限公司,(02)27152022,10544,臺北市松山區復興北路331號4樓
大地出版社有限公司,(02)26277749,11492,臺北市內湖區瑞光路358巷38弄36號4樓之2號
國立臺灣大學出版中心,(02)33664553,10617,臺北市大安區羅斯福路四段1號
華文網股份有限公司,(02)22487896,23584,新北市中和區中山路二段366巷10號10樓
?美生活文創股份有限公司,(02)22400891,23557,新北市中和區中山路2段350號5樓
瑞昇文化事業股份有限公司,(02)29453191,23582,新北市中和區景平路464巷2弄1之4號
萬卷樓圖書股份有限公司,(02)23216565,10643,臺北市大安區羅斯福路二段41號6F之3
皇冠文化出版有限公司,(02)27168888,10551,臺北市松山區敦化北路120巷50號
創意市集,(02)25007855*3706,10483,臺北市中山區民生東路二段141號7樓
大是文化有限公司,(02)23757911,10046,臺北市中正區衡陽路7號8樓
宏碩文化事業股份有限公司,(02)55999999,23144,新北市新店區中興路三段3號9樓
維京國際股份有限公司,(02)87971168,11491,臺北市內湖區瑞光路258巷50號5樓
臉譜出版,(02)25007696*2714,10483,臺北市中山區民生東路二段141號5樓
泛亞國際文化科技股份有限公司,(02)82219307,23553,新北市中和區建一路253號9樓
九歌出版社有限公司,(02)25776564,10558,臺北市松山區八德路三段12巷57弄40號
美商麥格羅希爾國際股份有限公司臺灣分公司,(02)23113000,10044,臺北市中正區博愛路53號7樓
拇指王文教科技有限公司,(02)86603177,23445,新北市永和區中興街133巷15號1樓
獨立作家,(02)27946283*142,11491,臺北市內湖區瑞光路76巷65號1樓
人類智庫數位科技股份有限公司,(02)86672555,23145,新北市新店區民權路115號5樓
墨刻出版股份有限公司,(02)25007008*6199,10483,臺北市中山區民生東路二段141號9樓
宏典文化出版股份有限公司,(02)89251958*17,23448,新北市永和區豫溪街156號1樓
京尼教育科技股份有限公司,(07)5505511,81358,高雄市左營區富民路285號
飛燕文創事業有限公司,(04)22638366,42041,臺中市南區樹義路65號
韋伯文化國際出版有限公司,(02)22324332,23444,新北市永和區永和路2段285號6樓
心理出版社股份有限公司,(02)29150566,23147,新北市新店區光明街288號7樓
宇河文化出版有限公司,(02)29143780,11476,臺北市內湖區文德路210巷30弄25號
貓咪予花兒工作室,(02)28382799,25152,新北市淡水區中山北路2段189巷110號3樓
INK印刻文學生活雜誌出版有限公司,(02)22281626,23586,新北市中和區建一路249號8樓
文史哲出版社,(02)23511028,10074,臺北市中正區羅斯福路一段72巷4號
狗屋出版社有限公司,(02)27765889,10492,臺北市中山區龍江路71巷15號1樓
茉莉出版社,(02)22361802,11641,臺北市文山區試院路4巷10弄6號5樓
經瑋文化,(02)29889111,24873,新北市五股區中興路2段83巷18號3樓
野人文化股份有限公司,(02)22181417*1271,23141,新北市新店區民權路108-3號6樓
繪虹企業股份有限公司,(02)22180701,23144,新北市新店區寶元路一段91-1號
大雁文化事業股份有限公司. 橡實文化,(02)27182001,10544,臺北市松山區復興北路333號11樓之4
校園書房出版社,(02)29182460,23141,新北市新店區民權路50號6樓
讀享數位文化股份有限公司,(02)23621678,10643,臺北市大安區和平東路一段8號10樓
威向有限公司,(02)26817935,238,新北市樹林區鎮前街183號1樓
遠東圖書股份有限公司,(02)23118740*363,10045,臺北市中正區重慶南路一段66之1號10樓
馬可孛羅文化,(02)25007696*2761,10483,臺北市中山區民生東路二段141號5樓
道聲出版社,(02)23938583,10641,臺北市大安區杭州南路二段15號2樓
風雲時代出版股份有限公司,(02)27560949,10576,臺北市松山區民生東路五段178號7樓之3
耕林出版社有限公司,(07)3130172,80751,高雄市三民區通化街47巷3之1號
青林國際出版股份有限公司,(02)87972777*512,11493,臺北市內湖區內湖路一段314號7樓之1
雅書堂文化事業有限公司,(02)89529826,22070,新北市板橋區板新路206號3樓
財團法人臺灣金融研訓院,(02)33653666*555,11084,臺北市中正區羅斯福路三段62號
太雅出版有限公司,(02)28360755,11167,臺北市士林區劍潭路13號2樓
合記圖書出版社,(02)86461828,22172,新北市汐止區汐平路2段1號
東雨文化事業有限公司,(07)3130172,80751,高雄市三民區通化街47巷3-1號
黃山國際出版社有限公司,(02)22234902,10045,臺北市中正區重慶南路1段57號7樓之8
積木文化,(02)23560933,10483,臺北市中山區民生東路二段141號5樓
螢火蟲出版社,(02)29650677,22055,新北市板橋區明德街3巷7號1樓
八旗文化,(02)22181417*161,23141,新北市新店區民權路108-3號8樓
城邦印書館股份有限公司,(02)25000888,10483,臺北市中山區民生東路2段141號B1
風車圖書出版有限公司,(02)26959502*254,22150,新北市汐止區福德一路392巷23號之1
楓葉社文化事業有限公司,(02)29576096,22041,新北市板橋區民生路2段210號5樓
瑞蘭國際有限公司,(02)27004625,10652,臺北市大安區安和路一段104號7樓之1
八方出版股份有限公司,(02)23887636,10843,臺北市萬華區中華路1段104號5樓
小熊出版社,(02)22181417*1391,23148,新北市新店區民權路108-3號6樓
世茂出版有限公司,(02)22183277,23150,新北市新店區民生路19號5樓
捷徑文化出版事業有限公司,(02)66368398*8810,10692,臺北市大安區忠孝東路四段218-7號7樓
暢談國際文化事業股份有限公司,(04)23780458,40357,臺中市西區美村路596巷1號
大石國際文化有限公司,(02)87971758,11493,臺北市內湖區堤頂大道二段181號3樓
法鼓文化事業股份有限公司,(02)28934646,11241,臺北市北投區公館路186號
大樂文化有限公司,(02)23898972*37,10056,臺北市中正區衡陽路20號3樓
狗狗圖書有限公司,(02)29262805,23448,新北市永和區中正路660號5樓
和裕出版社,(06)2454023,70953,臺南市安南區海佃路二段636巷5號
科友圖書股份有限公司,(02)22625666,23671,新北市土城區忠義路21號2樓
城邦文化事業股份有限公司 商業周刊,(02)25056789,10483,臺北市中山區民生東路二段141號8樓
風格司藝術創作坊,(02)87320530,10671,臺北市大安區安居街118巷17號
蓋亞文化有限公司,(02)25585438,10353,臺北市大同區赤峰街41巷7號1樓
臺灣廣廈有聲圖書有限公司,(02)22255777,23586,新北市中和區中山路二段359巷7號2樓
四季國際出版有限公司,(02)77180898,11052,臺北市信義區信義路4段458號3樓
財團法人資訊工業策進會產業情報研究所,(02)27356070*308,10669,臺北市大安區敦化南路二段216號19樓
華立圖書股份有限公司,(02)22217375,23545,新北市中和區員山路504號5樓之9
人類文化事業股份有限公司,(02)22181000,23141,新北市新店區民權路115號5樓
大展出版社有限公司,(02)28236031,11289,臺北市北投區致遠一路二段12巷1號
花園文化事業有限公司,(02)29301211,11687,臺北市文山區興隆路二段22巷7弄2號1樓
睿其書房,(02)23097610,10079,臺北市中正區泉州街55號2F
臺灣培生教育出版股份有限公司,(02)29188368,23143,新北市新店區北新路三段219號11樓D室
臺灣愛思唯爾有限公司,(02)25225900,10449,臺北市中山區中山北路二段96號
平安文化有限公司,(02)27168888,10551,臺北市松山區敦化北路120巷50號
布克文化出版事業部,(02)25007008,10483,臺北市中山區民生東路二段141號8樓
和平國際文化有限公司,(02)22263070,23557,新北市中和區中山路二段350號5樓
高立圖書有限公司,(02)22900318*252,24889,新北市新北產業園區五工三路116巷3號
新加坡商聖智學習亞洲私人有限公司臺灣分公司,(02)25580569,10341,臺北市大同區鄭州路87號9樓之1
達觀出版事業有限公司,(02)29351011,11670,臺北市文山區景文街1號4樓之2
貓頭鷹出版,(02)25007696,10483,臺北市中山區民生東路二段141號5樓
大旗出版社,(02)27235216,11051,臺北市信義區基隆路一段432號4樓之9
華碩文化科技有限公司,(04)26918586,43249,臺中市大肚區遊園路1段117-4號
人人出版股份有限公司,(02)29183366,23145,新北市新店區寶橋路235巷6弄6號7樓
大牌出版,(02)22181417*1180,23141,新北市新店區民權路108-2號9樓
秀威資訊科技股份有限公司,(02)27963638,11492,臺北市內湖區瑞光路76巷65號1樓
原點出版,(02)23113678,10544,臺北市松山區復興北路333號11樓之4
清涼音文化事業有限公司,(07)8033096,81268,高雄市小港區大鵬路144號
邀月文化事業股份有限公司,(02)29301211,11687,臺北市文山區興隆路二段22巷7弄2號1樓
聯合文學出版社股份有限公司,(02)27634300,11006,臺北市信義區基隆路一段178號10樓
小兵出版社有限公司,(02)77298580*188,10083,臺北市中正區牯嶺街148號4樓
文鶴出版有限公司,(02)23924820,10643,臺北市大安區金山南路二段200號8樓
四塊玉文創有限公司,(02)23774155,10679,臺北市大安區安和路二段213號2樓之2
華騰文化股份有限公司,(02)29739078,11691,臺北市文山區忠順街二段85巷1弄35號
樂果文化事業有限公司,(02)25453977,11494,臺北市內湖區舊宗路2段121巷19號
哈福企業有限公司,(02)29456985,23569,新北市中和區景新街347號11樓之6
書林出版有限公司,(02)23684938,10090,臺北市中正區羅斯福路四段60號3樓
智趣王數位科技股份有限公司,(02)23257188,10682,臺北市大安區信義路四段88號8樓
喜樂亞股份有限公司,(02)22468381,23556,新北市中和區永和路193號
醫療財團法人和信治癌中心醫院,(02)28970011,11259,臺北市北投區立德路125號
九童國際文化事業有限公司,(02)28095993,25173,新北市淡水區民權路75號4樓之2
國家出版社,(02)28951317,11269,臺北市北投區大興街9巷28號1樓
大田出版有限公司,(02)23696315,10445,臺北市中山區中山北路2段26巷2號2樓
天龍文創出版事業有限公司,(02)23312666,10045,臺北市中正區重慶南路1段105號
致良出版社有限公司,(02)25710558,10444,臺北市中山區南京西路12巷9號5樓
師友文化事業有限公司,(02)29118833,23145,新北市新店區寶興路45巷9弄1號4樓
圓神出版社有限公司,(02)25796600,10553,臺北市松山區南京東路四段50號6樓之1
學海出版社,953386585,80785,高雄市三民區立忠路18號10樓
水滴文化,(02)25007008,10483,臺北市中山區民生東路二段141號7樓
好讀出版有限公司,(04)23157795,40759,臺中市西屯區大有街13號
財團法人工業技術研究院產業經濟與趨勢研究中心,(03)5912494,31040,新竹縣竹東鎮中興路四段195號10館205室
賴世雄智網文教股份有限公司,(02)29111337,23147,新北市新店區北新路一段291號6樓
寶瓶文化事業股份有限公司,(02)27494988,11006,臺北市信義區基隆路一段180號8樓
易富文化有限公司,(02)23457222,11065,臺北市信義區忠孝東路5段372巷27弄78之1號1樓
博客思出版事業網,(02)23311675,10045,臺北市中正區重慶南路1段121號8樓之4
龍騰文化事業股份有限公司,(02)22999063,24890,新北市五股區五股工業區五權七路1號
五洲出版社,(02)22451285,23553,新北市永和區竹林路191巷20號1樓
正智出版社有限公司,(02)28316727,10367,臺北市大同區承德路三段267號10樓
古韻文化事業有限公司,(04)22319107,40153,臺中市東區三賢街2號1樓
如何出版社有限公司,(02)25796600,10553,臺北市松山區南京東路四段50號6樓之1
百善書房,(02)32343788,23545,新北市中和區立德街211號2樓
昌明文化有限公司,(02)23216565,33347,桃園市龜山區中原街32號
果樹出版社有限公司,(02)27765889,10492,臺北市中山區龍江路71巷15號1樓
揚智文化事業股份有限公司,(02)26647780,22204,新北市深坑區北深路三段260號8樓
旗立資訊股份有限公司,(02)23224846*823,10049,臺北市中正區忠孝東路一段83號B1
臺灣東華書局股份有限公司,(02)23890906,10045,臺北市中正區重慶南路一段147號3樓
禾馬文化事業有限公司,(02)66395508,11083,臺北市信義區忠孝東路五段508號4樓之1
華杏出版股份有限公司,(02)27975050,11493,臺北市內湖區洲子街72號5樓
臺灣商務印書館股份有限公司,(02)23683616,23150,新北市新店區復興路43號8樓
獨步文化,(02)25007696,10483,臺北市中山區民生東路二段141號5樓
薪橋出版社有限公司,(02)23719128,10047,臺北市中正區開封街一段20號7樓
布拉格文創社,(02)86615711,23154,新北市新店區安康路2段176號7樓
幼獅文化事業股份有限公司,(02)23146001,10045,臺北市中正區重慶南路一段66-1號3樓
康軒文教事業股份有限公司,(02)29189393,23146,新北市新店區中興路二段218巷11號
菁品文化事業有限公司,(02)22235029,23545,新北市中和區立德街211號2樓
華威國際事業有限公司,(02)22263147,23585,新北市中和區建康路150號2樓
詹氏書局,(02)23412856,10644,臺北市大安區和平東路一段177號9樓之5
遠景出版事業有限公司,(02)22545460,22044,新北市板橋區松柏街65號5樓
獵海人,(02)27963638,11466,臺北市內湖區瑞光路76巷69號2樓
大寫出版社,(02)27182001*701,10476,臺北市中山區復興北路333號11樓之4
大穎文化事業股份有限公司,(02)27469169,10597,臺北市松山區南京東路五段38-1號11樓
文房文化事業有限公司,(02)27099728,10661,臺北市大安區而瑞安街286號2樓
中華電視股份有限公司,(02)27756858,10612,臺北市大安區光復南路100號
心靈工坊文化事業股份有限公司,(02)27029186,10683,臺北市大安區信義路四段53巷8號2樓
光啟文化事業,(02)27402022,10688,臺北市大安區敦化南路一段233巷20號A棟
空中美語文教事業股份有限公司,(02)23916999,10644,臺北市大安區和平東路一段230號2樓
奇幻基地出版,(02)25007008*2211,10483,臺北市中山區民生東路二段141號5樓
華志文化事業有限公司,(02)22341779,11664,臺北市文山區興隆路4段96巷3弄6號4樓
華夏出版有限公司,(02)32343788,23556,新北市中和區立德街211號2樓
新自然主義股份有限公司,(02)27845369,10054,臺北市中正區杭州南路一段63號9樓
鴻漸文化,(02)22487896*337,23584,新北市中和區中山路2段366巷10號10樓
大家出版,(02)22181417,23148,新北市新店區民權路108-3號6樓
天恩出版社,(02)25153551,10455,臺北市中山區松江路23號10樓
可橙文化工坊,(02)77315558,23557,新北市中和區中山路2段352號2樓
書泉出版社,(02)27055066,10670,臺北市大安區和平東路二段339號4樓
海鴿文化出版圖書有限公司,(02)27273008,11084,臺北市信義區林口街54-4號1樓
翰蘆圖書出版有限公司,(02)23821120,10045,臺北市中正區重慶南路一段121號5樓之11
大乘定香精舍,(02)27638820,10589,臺北市松山區民生東路五段280號
及第出版社,(04)22352519,40452,臺中市北區德化街269號1樓
方智出版社股份有限公司,(02)25796600,10553,臺北市松山區南京東路四段50號6樓之1
吉的堡網路科技股份有限公司,(02)22185996,23142,新北市新店區建國路148號1樓
草原文創有限公司,(02)55799575,23441,新北市永和區環河東路1段118號1樓
新Book House,(02)86665711,23154,新北市新店區安康路2段176號7樓
新雨出版社,(02)29789529,24143,新北市三重區重安街102號8樓
滄海圖書資訊股份有限公司,(02)22263103,23552,新北市中和區中正路679號6樓
新陸書局股份有限公司,(02)23512587,10045,臺北市中正區重慶南路一段47號
中華書局,(02)87978669,11494,臺北市內湖區舊宗路二段181巷8號5樓
唐山出版社,(02)83692342,10647,臺北市大安區羅斯福路三段333巷9號B1
財團法人資訊工業策進會產業情報研究所,(02)27356070*308,10669,臺北市大安區敦化南路二段216號19樓
高點文化事業有限公司,(02)23896688*100,10047,臺北市中正區館前路12號11樓
鶴立出版事業部,(02)22487896,23584,新北市中和區中山路二段366巷10號3樓
蘭臺出版社,(02)23311675,10046,臺北市中正區重慶南路1段121號8樓之14
小樹文化有限公司,(02)27330288,11054,臺北市信義區崇德街38巷20號
上優文化事業有限公司,(02)23362363,24253,新北市新莊區化成路293巷32號
不求人文化有限公司,(02)23457222,11061,臺北市信義區忠孝東路五段372巷27弄78-1號1樓
方言文化出版事業有限公司,(02)29294680,10045,臺北市中正區重慶南路一段61號11F之12室
出色文化,(02)89146405,23158,新北市新店區寶興路45巷6弄5號6樓
如果出版,(02)27182001*201,10544,臺北市松山區復興北路333號11樓之4
良品文化館,(02)89524078,22070,新北市板橋區板新路206號3樓
知書房出版社,(02)87320530,10671,臺北市大安區安居街118巷17號
城邦原創股份有限公司,(02)25095506,10483,臺北市中山區民生東路二段141號6樓A室
信實文化行銷有限公司,(02)27491282,10596,臺北市松山區南京東5段64號8樓之1
凌零出版社,(02)23318262,10045,臺北市中正區重慶南路1段99號11樓之6
健行文化出版事業有限公司,(02)25776564,10558,臺北市松山區八德路三段12巷57弄40號
啟思文化事業股份有限公司,(02)77030330,25170,新北市淡水區中正東路2段27-5號5樓
凱特文化創意股份有限公司,(02)22633878*18,23660,新北市土城區明德路2段149號2樓
愛米粒出版有限公司,(02)25622159,10445,臺北市中山區中山北路2段26巷2號2樓
維他命文化有限公司,(02)22263070,23585,新北市中和區建康路150號
雙葉書廊有限公司,(02)23684198,10647,臺北市大安區羅斯福路三段269巷12號1樓
巧育文化事業有限公司,(02)22268300,23558,新北市中和區永和路363巷19號5樓
生命潛能文化事業有限公司,(02)28833989,11168,臺北市士林區承德路4段234號8樓
秀威經典,(02)27963638,11492,臺北市內湖區瑞光路76巷65號1樓
我識出版社有限公司,(02)25777136,11065,臺北市信義區忠孝東路5段372巷27弄78之1號1樓
原水文化,(02)25007008,10483,臺北市中山區民生東路二段141號5樓
國際學村出版社,(02)22255777,23554,新北市中和區中山路二段359巷7號2樓
渥瑪數位有限公司,(04)8325434,52399,彰化縣員林鎮員林郵局第36號信箱
新世紀美學出版社,(02)28058657,10452,臺北市中山區民族西路76巷12弄10號1樓
臺灣麥克股份有限公司,(02)87971168,11491,臺北市內湖區瑞光路258巷50號5樓
臺灣學生書局有限公司,(02)23928185*17,10643,臺北市大安區和平東路一段75巷11號1樓
樂友文化事業有限公司,(02)22400891*861,23544,新北市中和區中山路2段350號5樓
靜思人文志業股份有限公司,(02)28989888,10653,臺北市大安區忠孝東路三段217巷7弄35號
橡樹林文化,(02)23560933*293,10483,臺北市中山區民生東路2段141號5樓
大新書局,(02)82857171,10661,臺北市大安區瑞安街256巷16號
天下生活出版股份有限公司,(02)25078627,10485,臺北市中山區南京東路二段139號11樓
水星文化事業出版社,(02)32343788,23545,新北市中和區立德街211號2樓
允晨文化實業股份有限公司,(02)25072606,10487,臺北市中山區南京東路三段21號6樓
立?文化事業有限公司,(02)22192173,23150,新北市新店區中央六街62號1樓
本事出版,(02)27182001,10544,臺北市松山區復興北路33號11樓之4
北星圖書事業股份有限公司,(02)29229000,23455,新北市永和區中正路458號B1
春暉出版社,(07)7613385,80286,高雄市苓雅區正義路3巷8號
普林斯頓國際有限公司,(02)89903296,24889,新北市新北產業園區五工三路116巷3號
愛智圖書有限公司,(07)8121571,80664,高雄市前鎮區千富街235號
萬達盛有限公司,(02)89116611,23145,新北市新店區寶橋路235巷6弄6號1樓
人間出版社,(02)23370039,10874,臺北市萬華區長泰街59巷7號
小麥田出版,(02)25007696,10483,臺北市中山區民生東路2段141號5樓
大智文化有限公司,(02)82191358,23148,新北市新店區 寶橋路235巷6弄3號5樓
大揚出版社,(02)22448188,23558,新北市中和區中山路二段362號9樓
上誼文化實業股份有限公司,(02)23965303,10075,臺北市中正區重慶南路二段75號
中華聯創出版企業社,(06)2617062,70251,臺南市南區?埕路39號
朱雀文化事業有限公司,(02)23453868,11052,臺北市信義區基隆路二段13-1號3樓
企鵝創意出版有限公司,(06)2628093,70261,臺南市南區明興路321巷22-3號
哈佛英語出版社,(02)23896403,10047,臺北市中正區南陽街24號
振佑國際企業有限公司,(02)29114886,23143,新北市新店區寶安街66號
凌雲文創事業有限公司,(02)26921935,22150,新北市汐止區康寧路169巷25號6樓
悅讀名品出版有限公司,(02)86656864,23144,新北市新店區中興路3段309號
普天出版家族有限公司,(02)26921935,22180,新北市汐止區康寧街169巷25號6樓
凱信企業集團凱信企業管理顧問有限公司,(02)66368398,10692,臺北市大安區忠孝東路四段218-7號7樓
華藝學術出版社,(02)29266006,23452,新北市永和區成功路1段80號18樓
新手作,(02)89529826,22066,新北市板橋區板新路206號3樓
魔豆文化有限公司,(02)25585438,10352,臺北市大同區赤峰街41巷7號1樓
山田社文化事業有限公司,(02)27557622,10688,臺北市大安區安和路一段112巷17號7樓
元將文化股份有限公司,(02)22605209,23649,新北市土城區明德路一段74號4樓
先覺出版股份有限公司,(02)25703939,10550,臺北市松山區南京東路四段50號6樓之1
佛光文化事業有限公司,(07)6561921*1288,84049,高雄市大樹區興田村興田路153號
秀威少年,(02)27963638,11492,臺北市內湖區瑞光路76巷65號1樓
典藏藝術家庭股份有限公司,(02)25602220,10446,臺北市中山區中山北路一段85號7樓
柿子文化事業有限公司,(02)89314903*11,11677,臺北市文山區羅斯福路五段158號2樓
財團法人國語日報社,(02)23921133*1347,10078,臺北市中正區福州街2號
財團法人臺灣基督長老教會臺灣教會公報社,(06)2356277*122,70144,臺南市青年路334號
國立臺灣師範大學出版中心,(02)77345289,10610,臺北市大安區和平東路一段162號
華成圖書出版股份有限公司,(02)27975050,11493,臺北市內湖區洲子街72號5樓
晴空,(02)25007696,10483,臺北市中山區民生東路二段141號5樓
蕙風堂筆墨有限公司出版部,(02)82214695,10643,臺北市大安區和平東路一段77之1號
賽斯文化事業有限公司,(02)22196629,23150,新北市新店區中央七街26號3樓
驛站文化事業有限公司,(02)28136081,11164,臺北市士林區社中街346巷1-1號1樓
玉山社出版事業股份有限公司,(02)27753736,10686,臺北市大安區仁愛路四段145號3樓之2
布可屋文化,(02)29436268,25173,新北市淡水區清水街178號5樓
美樂蒂文教科技興業股份有限公司,(07)3227492,80743,高雄市三民區北平二街16號6樓
財團法人基督教以琳書房,(02)27772560,10686,臺北市大安區忠孝東路四段210號B1
斑馬線出版社,(02)26257956,25164,新北市淡水區重建街60號
博誌文化股份有限公司,(02)26962869,22102,新北市汐止區新臺五路一段112號10樓A棟
聞道出版社,(06)2144037,70041,臺南市中西區友愛街10號
臺灣顯密佛教教育功德會,978871837,23853,新北市樹林區學勤路546號17樓
上人文化事業股份有限公司,(02)22435977,23584,新北市中和區橋和路115號9樓
大元書局,(02)23087171,10851,臺北市萬華區南寧路35號
三悅文化圖書事業有限公司,(02)29453191,23582,新北市中和區景平路464巷2弄1之4號
水靈文創有限公司,(02)27996466,11444,臺北市內湖區內湖路一段387巷3弄2號1樓
永然文化出版股份有限公司,(02)23560809,10093,臺北市中正區羅斯福路二段9號7樓
台灣東方出版社股份有限公司,(02)25581117,10354,臺北市大同區承德路2段81號12樓之2
有鹿文化事業有限公司,(02)27727788,10651,臺北市大安區濟南路三段28號7樓
使徒出版社有限公司,(02)23625282,10647,臺北市大安區羅斯福路三段269巷3號
幸福文化出版社,(02)22181417,23141,新北市新店區民權路108-3號6樓
